Dates,UBS Long US CDX IG 5Y ER,UBS Shrt US CDX IG 5Y ER,CDX IG 5 yr Basket OTR,UBS Long CDX EM 5Y ER USD,UBS Shortable CDX EM 5Y ER USD,UBS Long US CDX HY 5Y ER,UBS Shrt US CDX HY 5Y ER,CDX HY Basket OTR
3/30/2007,99.9516,99.9516,114.2616,100.3159,100.3159,99.9741,99.9741,117.9904
4/6/2007,100.0056,100.0056,114.3916,100.5873,100.5873,100.0806,100.0806,118.1016
4/13/2007,100.046,100.046,114.5759,100.6338,100.6338,100.6092,100.6092,118.9486
4/20/2007,100.1696,100.1696,114.8324,101.139,101.139,101.5548,101.5548,120.313
4/27/2007,100.1023,100.1023,114.8681,101.0134,101.0134,101.2338,101.2338,120.0536
5/4/2007,100.1263,100.1263,115.0079,100.8738,100.8738,101.076,101.076,120.0196
5/11/2007,100.1606,100.1606,115.1609,100.8683,100.8683,101.3779,101.3779,120.524
5/18/2007,100.1941,100.1941,115.3137,101.1987,101.1987,101.4142,101.4142,120.5868
5/25/2007,100.2426,100.2426,115.4668,101.2042,101.2042,101.6643,101.6643,121.0428
6/1/2007,100.2559,100.2559,115.6116,101.3347,101.3347,101.8772,101.8772,121.2261
6/8/2007,100.2006,100.2006,115.6575,101.0592,101.0592,101.4541,101.4541,121.0398
6/15/2007,100.2145,100.2145,115.7977,101.3608,101.3608,101.5398,101.5398,121.3561
6/22/2007,100.0429,100.0433,115.6985,101.1566,101.1597,100.0823,100.0894,119.4745
6/29/2007,99.9693,99.9697,115.7636,100.6436,100.6467,98.7207,98.7277,118.3473
7/6/2007,99.9219,99.9223,115.8002,100.9136,100.9167,98.3448,98.3517,117.8719
7/13/2007,99.9552,99.9557,115.9478,100.7776,100.7807,98.1269,98.1339,117.7983
7/20/2007,99.5539,99.5544,115.6029,100.2355,100.2387,95.6296,95.6363,114.779
7/27/2007,98.5372,98.5377,114.364,97.0611,97.0641,92.3634,92.3699,110.5803
8/3/2007,98.3744,98.3749,114.3765,98.1039,98.107,94.0066,94.0132,112.8909
8/10/2007,98.9286,98.929,115.1774,98.5109,98.514,95.9733,95.98,115.8206
8/17/2007,98.7396,98.7401,115.1169,97.4577,97.4607,96.5169,96.5237,116.4829
8/24/2007,99.2919,99.2924,115.8699,98.6766,98.6797,97.6192,97.6261,118.0563
8/31/2007,98.9986,98.999,115.6891,98.5623,98.5654,96.8195,96.8263,117.0442
9/7/2007,98.7586,98.759,115.5076,98.036,98.0391,96.5511,96.5579,116.8451
9/14/2007,99.0458,99.0463,115.9329,98.6411,98.6442,97.6178,97.6247,118.3345
9/21/2007,99.5351,99.5361,116.6733,100.3063,100.3492,99.6321,99.6465,120.8581
9/28/2007,99.2795,99.3203,116.505,99.8081,100.0493,99.1702,99.1844,120.7621
10/5/2007,99.5702,99.6611,116.9781,100.1327,100.5344,100.1347,100.3115,121.9526
10/12/2007,99.6618,99.7627,117.2374,100.6155,101.0191,100.8892,101.2294,123.0864
10/19/2007,99.0518,99.1521,116.5186,99.6068,100.0064,98.1248,98.5348,119.9456
10/26/2007,99.1196,99.2199,116.7876,99.8002,100.2006,98.7177,99.1302,120.6678
11/2/2007,98.6582,98.7581,116.3817,99.5024,99.9016,97.2191,97.6253,118.9271
11/9/2007,98.349,98.4486,116.117,98.5716,98.967,95.9281,96.3289,117.6041
11/16/2007,98.3707,98.4703,116.2314,98.3099,98.7043,95.3477,95.7461,117.0629
11/23/2007,98.2537,98.3532,116.12,97.4906,97.8817,95.0836,95.4809,116.6149
11/30/2007,98.4407,98.5404,116.5119,98.8115,99.2078,96.2449,96.647,118.3666
12/7/2007,98.4734,98.5731,116.6648,99.3615,99.7601,97.035,97.4404,119.5441
12/14/2007,98.5301,98.6299,116.8523,99.0506,99.448,96.7553,97.1595,119.5993
12/21/2007,98.4117,98.5119,116.798,99.1424,99.5489,96.5585,96.9719,119.0488
12/28/2007,98.4582,98.5585,117,99.1472,99.5538,96.64,97.0537,119.2567
1/4/2008,97.991,98.0909,116.511,98.3041,98.7072,94.944,95.3505,117.3923
1/11/2008,97.6207,97.7201,116.1599,98.0682,98.4704,94.092,94.4949,116.4546
