Dates,U.S. Corporate High Yield,Ba,B,Caa,Ca-D,Airlines,Transportation,Cable Satellite,Utility,P&C Insurance,Supermarkets,Insurance,Media Entertainment,Communications,Health Insurance,Railroads,Consumer Products,Wireless,Refining,Construction Mach.,Packaging,Automotive,Other Industrial,Food Beverage,Pharmaceuticals,Life Insurance,Restaurants,Environmental,Metals & Mining,Lodging,Technology,Transportation Services,REITS,Energy,Basic Industry,Industrials
3/30/2007,907.3,1043.352,841.5607,512.8512,427.1506,250.73,288.4807,255.99,384.78,258.66,281.55,256.2394,408.45,123.1846,108.88,290.63,337.42,180.1142,351.94,290.3,370.18,207.45,161.8278,292.5,352.42,56.72,178.11,328.11,251.27,396.97,392.89,376.23,220.0163,391.0309,323.9246,289.63
4/6/2007,907.47,1043.576,841.6414,513.1143,427.4073,251.46,288.9564,255.84,385.29,258.35,281.12,255.8772,407.75,123.1093,109.03,290.55,337.85,180.434,351.67,291.62,370.92,207.28,162.1532,292.7,353.24,56.61,178.17,328.27,251.42,396.62,393.42,376.58,221.0092,391.3718,324.0676,289.66
4/13/2007,910.2,1044.725,844.5354,516.2652,426.5863,250.89,289.0864,258.17,386.24,259.57,280.86,256.2277,408.2,123.5221,110.53,291.62,339.08,181.3358,352.41,292.7,372.2,208.44,162.5651,293.39,353.95,56.43,179.01,329.24,252.63,396.95,394.34,377.38,220.7676,392.3042,324.8317,290.57
4/20/2007,915.88,1050.491,849.5986,520.5361,432.0001,252.12,290.7601,260.41,388.77,260.34,283.48,257.7209,410.64,124.3039,112,292.23,341.29,182.261,353.66,293.67,374.32,209.27,163.612,295.96,356.89,56.88,180.44,331.22,253.61,399.17,396.97,379.92,221.8391,394.9505,326.7448,292.42
4/27/2007,918.47,1052.757,852.3471,522.2392,431.6627,252.16,291.4979,260.42,389.31,263.8,284.3,259.4413,411.57,124.5112,113.98,293.21,342.11,182.5775,354.84,294.15,375.96,210.69,164.3094,296.67,357.33,56.81,180.16,331.13,254.53,400.26,397.4,381.51,222.675,395.8586,327.8017,293.27
5/4/2007,920.7,1055.131,854.2915,524.0094,429.4462,253.14,292.1459,261.07,390.25,265.87,285.56,261.1539,412.76,124.8659,114.18,294.22,343.46,183.1987,354.6,294.66,376.04,211.34,164.9397,297.72,358.47,57.14,179.91,331.94,255.31,401.37,398.21,381.88,223.2039,396.9086,328.2325,294
5/11/2007,922.94,1056.776,856.4976,525.8954,434.9295,253.85,292.8939,262.71,390.9,265.52,286.36,261.2531,413.13,125.1661,113.76,294.41,344.84,183.4394,355.68,295.56,377.19,211.82,165.3082,298.9,360.13,57.32,180.64,333.2,256.14,402.25,399.49,382.84,222.9598,398.0882,329.373,294.76
5/18/2007,924.24,1056.5622,858.171,527.5544,437.2082,254.27,293.5111,263.46,390.45,263.97,285.67,259.7652,413.59,125.4102,114.07,294.85,346.07,184.6428,356.16,296.32,377.52,213.12,165.526,299.15,360.99,56.92,180.25,333.99,256.89,401.12,399.49,383.79,222.7889,398.5024,329.6582,295.29
5/25/2007,925.61,1057.308,859.2828,529.052,445.3904,254.02,293.7574,263.89,391.19,263.37,286.31,259.2493,414.21,125.4365,114.36,294.72,347,184.9284,356.02,296.65,377.99,213.87,165.7824,299.4,364.49,56.79,180.12,334.67,257.56,400.99,399.97,384.64,222.7653,398.6023,330.1801,295.68
6/1/2007,925.59,1055.836,859.3309,530.1566,453.4827,254.05,294.2214,264.28,390.66,262.77,286.84,258.5728,414.16,125.5153,114.52,294.81,347.18,186.1016,355.78,296.52,378.07,214.15,165.8124,299.45,367.58,56.58,179.43,334.94,257.18,400.11,400.37,385.67,222.2777,398.8828,329.7182,295.77
